table_catalog,table_schema,table_name,column_name,ordinal_position,column_default,is_nullable,full_data_type,data_type,character_maximum_length,character_octet_length,numeric_precision,numeric_precision_radix,numeric_scale,datetime_precision,interval_type,interval_precision,maximum_cardinality,is_identity,identity_generation,identity_start,identity_increment,identity_maximum,identity_minimum,identity_cycle,is_generated,generation_expression,is_system_time_period_start,is_system_time_period_end,system_time_period_timestamp_generation,is_updatable,partition_index,comment
openfema,data_products,disaster_declarations_summaries,incidentId,22,null,YES,string,STRING,0,0,null,null,null,null,null,null,null,NO,null,null,null,null,null,null,NO,null,NO,NO,null,YES,null,Unique identifier for the incident
openfema,data_products,disaster_declarations_summaries,region,23,null,YES,bigint,LONG,null,null,null,null,null,null,null,null,null,NO,null,null,null,null,null,null,NO,null,NO,NO,null,YES,null,Region where the disaster incident occurred
openfema,data_products,disaster_declarations_summaries,designatedIncidentTypes,24,null,YES,string,STRING,0,0,null,null,null,null,null,null,null,NO,null,null,null,null,null,null,NO,null,NO,NO,null,YES,null,Types of incidents designated in the disaster declaration
openfema,data_products,disaster_declarations_summaries,lastRefresh,25,null,YES,string,STRING,0,0,null,null,null,null,null,null,null,NO,null,null,null,null,null,null,NO,null,NO,NO,null,YES,null,Date of the last data refresh
openfema,data_products,disaster_declarations_summaries,hash,26,null,YES,string,STRING,0,0,null,null,null,null,null,null,null,NO,null,null,null,null,null,null,NO,null,NO,NO,null,YES,null,Hash value for data integrity
openfema,data_products,disaster_declarations_summaries,id,27,null,YES,string,STRING,0,0,null,null,null,null,null,null,null,NO,null,null,null,null,null,null,NO,null,NO,NO,null,YES,null,Unique identifier for the record
openfema,data_products,disaster_declarations_summaries,femadexLastRefresh,28,null,YES,timestamp,TIMESTAMP,null,null,null,null,null,3,null,null,null,NO,null,null,null,null,null,null,NO,null,NO,NO,null,YES,null,Date of the last refresh for FEMA data exchange
openfema,data_products,disaster_individual_assistance,disasterNumber,0,null,YES,bigint,LONG,null,null,null,null,null,null,null,null,null,NO,null,null,null,null,null,null,NO,null,NO,NO,null,YES,null,Identifier for the disaster event
openfema,data_products,disaster_individual_assistance,IAtotalValidRegistrations,1,null,YES,int,INT,null,null,null,null,null,null,null,null,null,NO,null,null,null,null,null,null,NO,null,NO,NO,null,YES,null,null
openfema,data_products,disaster_individual_assistance,IAvalidCallCenterRegistrations,2,null,YES,int,INT,null,null,null,null,null,null,null,null,null,NO,null,null,null,null,null,null,NO,null,NO,NO,null,YES,null,null
openfema,data_products,disaster_individual_assistance,IAvalidMobileRegistrations,3,null,YES,int,INT,null,null,null,null,null,null,null,null,null,NO,null,null,null,null,null,null,NO,null,NO,NO,null,YES,null,null
openfema,data_products,disaster_individual_assistance,IAhaReferrals,4,null,YES,int,INT,null,null,null,null,null,null,null,null,null,NO,null,null,null,null,null,null,NO,null,NO,NO,null,YES,null,null
openfema,data_products,disaster_individual_assistance,IAhaEligible,5,null,YES,int,INT,null,null,null,null,null,null,null,null,null,NO,null,null,null,null,null,null,NO,null,NO,NO,null,YES,null,null
openfema,data_products,disaster_individual_assistance,IAhaAmount,6,null,YES,double,DOUBLE,null,null,null,2,null,null,null,null,null,NO,null,null,null,null,null,null,NO,null,NO,NO,null,YES,null,null
openfema,data_products,disaster_individual_assistance,IAonaReferrals,7,null,YES,int,INT,null,null,null,null,null,null,null,null,null,NO,null,null,null,null,null,null,NO,null,NO,NO,null,YES,null,null
openfema,data_products,disaster_individual_assistance,IAonaEligible,8,null,YES,int,INT,null,null,null,null,null,null,null,null,null,NO,null,null,null,null,null,null,NO,null,NO,NO,null,YES,null,null
openfema,data_products,disaster_individual_assistance,IAonaAmount,9,null,YES,int,INT,null,null,null,null,null,null,null,null,null,NO,null,null,null,null,null,null,NO,null,NO,NO,null,YES,null,null
openfema,data_products,disaster_individual_assistance,IAtotalIADollars,10,null,YES,double,DOUBLE,null,null,null,2,null,null,null,null,null,NO,null,null,null,null,null,null,NO,null,NO,NO,null,YES,null,null
openfema,data_products,disaster_info,disasterNumber,0,null,YES,bigint,LONG,null,null,null,null,null,null,null,null,null,NO,null,null,null,null,null,null,NO,null,NO,NO,null,YES,null,Unique identifier for disaster event
openfema,data_products,disaster_info,countiesDeclared,1,null,NO,int,INT,null,null,null,null,null,null,null,null,null,NO,null,null,null,null,null,null,NO,null,NO,NO,null,YES,null,null
openfema,data_products,disaster_info,state,2,null,YES,string,STRING,0,0,null,null,null,null,null,null,null,NO,null,null,null,null,null,null,NO,null,NO,NO,null,YES,null,State where the disaster occurred
openfema,data_products,disaster_info,declarationType,3,null,YES,string,STRING,0,0,null,null,null,null,null,null,null,NO,null,null,null,null,null,null,NO,null,NO,NO,null,YES,null,Type of declaration issued by FEMA
openfema,data_products,disaster_info,fyDeclared,4,null,YES,bigint,LONG,null,null,null,null,null,null,null,null,null,NO,null,null,null,null,null,null,NO,null,NO,NO,null,YES,null,Fiscal year in which the declaration was made
openfema,data_products,disaster_info,incidentType,5,null,YES,string,STRING,0,0,null,null,null,null,null,null,null,NO,null,null,null,null,null,null,NO,null,NO,NO,null,YES,null,Type of disaster incident
openfema,data_products,disaster_info,ihProgramDeclared,6,null,YES,boolean,BOOLEAN,null,null,null,null,null,null,null,null,null,NO,null,null,null,null,null,null,NO,null,NO,NO,null,YES,null,null
openfema,data_products,disaster_info,iaProgramDeclared,7,null,YES,boolean,BOOLEAN,null,null,null,null,null,null,null,null,null,NO,null,null,null,null,null,null,NO,null,NO,NO,null,YES,null,null
openfema,data_products,disaster_info,paProgramDeclared,8,null,YES,boolean,BOOLEAN,null,null,null,null,null,null,null,null,null,NO,null,null,null,null,null,null,NO,null,NO,NO,null,YES,null,null
openfema,data_products,disaster_info,hmProgramDeclared,9,null,YES,boolean,BOOLEAN,null,null,null,null,null,null,null,null,null,NO,null,null,null,null,null,null,NO,null,NO,NO,null,YES,null,null
openfema,data_products,disaster_public_assistance,disasterNumber,0,null,YES,bigint,LONG,null,null,null,null,null,null,null,null,null,NO,null,null,null,null,null,null,NO,null,NO,NO,null,YES,null,Unique identifier for each disaster event
openfema,data_products,disaster_public_assistance,PAnumberOfProjects,1,null,NO,bigint,LONG,null,null,null,null,null,null,null,null,null,NO,null,null,null,null,null,null,NO,null,NO,NO,null,YES,null,null
openfema,data_products,disaster_public_assistance,PAfederalShareObligated,2,null,YES,double,DOUBLE,null,null,null,2,null,null,null,null,null,NO,null,null,null,null,null,null,NO,null,NO,NO,null,YES,null,null
openfema,data_products,disaster_public_assistance,PAtotalObligated,3,null,YES,double,DOUBLE,null,null,null,2,null,null,null,null,null,NO,null,null,null,null,null,null,NO,null,NO,NO,null,YES,null,null
openfema,data_products,disaster_public_assistance,PAprojectAmount,4,null,YES,double,DOUBLE,null,null,null,2,null,null,null,null,null,NO,null,null,null,null,null,null,NO,null,NO,NO,null,YES,null,null
openfema,data_products,emergency_management_performance_grants,id,0,null,YES,string,STRING,0,0,null,null,null,null,null,null,null,NO,null,null,null,null,null,null,NO,null,NO,NO,null,YES,null,Unique identifier for each grant project
openfema,data_products,emergency_management_performance_grants,reportingPeriod,1,null,YES,string,STRING,0,0,null,null,null,null,null,null,null,NO,null,null,null,null,null,null,NO,null,NO,NO,null,YES,null,Time period during which the grant project report is submitted
openfema,data_products,emergency_management_performance_grants,state,2,null,YES,string,STRING,0,0,null,null,null,null,null,null,null,NO,null,null,null,null,null,null,NO,null,NO,NO,null,YES,null,The state where the grant project is located
openfema,data_products,emergency_management_performance_grants,legalAgencyName,3,null,YES,string,STRING,0,0,null,null,null,null,null,null,null,NO,null,null,null,null,null,null,NO,null,NO,NO,null,YES,null,Name of the legal agency responsible for the grant project
openfema,data_products,emergency_management_performance_grants,projectType,4,null,YES,string,STRING,0,0,null,null,null,null,null,null,null,NO,null,null,null,null,null,null,NO,null,NO,NO,null,YES,null,Type or category of the grant project
openfema,data_products,emergency_management_performance_grants,projectStartDate,5,null,YES,string,STRING,0,0,null,null,null,null,null,null,null,NO,null,null,null,null,null,null,NO,null,NO,NO,null,YES,null,Date when the grant project officially starts
openfema,data_products,emergency_management_performance_grants,projectEndDate,6,null,YES,string,STRING,0,0,null,null,null,null,null,null,null,NO,null,null,null,null,null,null,NO,null,NO,NO,null,YES,null,Date when the grant project officially ends
openfema,data_products,emergency_management_performance_grants,nameOfProgram,7,null,YES,string,STRING,0,0,null,null,null,null,null,null,null,NO,null,null,null,null,null,null,NO,null,NO,NO,null,YES,null,Name of the program associated with the grant project
openfema,data_products,emergency_management_performance_grants,fundingAmount,8,null,YES,double,DOUBLE,null,null,null,2,null,null,null,null,null,NO,null,null,null,null,null,null,NO,null,NO,NO,null,YES,null,Amount of funding awarded for the grant project
openfema,data_products,emergency_management_performance_grants,femadexLastRefresh,9,null,YES,timestamp,TIMESTAMP,null,null,null,null,null,3,null,null,null,NO,null,null,null,null,null,null,NO,null,NO,NO,null,YES,null,Timestamp indicating when the FEMADEX data was last updated
openfema,data_products,fema_regions,name,0,null,YES,string,STRING,0,0,null,null,null,null,null,null,null,NO,null,null,null,null,null,null,NO,null,NO,NO,null,YES,null,The name of the FEMA region
openfema,data_products,fema_regions,region,1,null,YES,string,STRING,0,0,null,null,null,null,null,null,null,NO,null,null,null,null,null,null,NO,null,NO,NO,null,YES,null,The region code or identifier
openfema,data_products,fema_regions,address,2,null,YES,string,STRING,0,0,null,null,null,null,null,null,null,NO,null,null,null,null,null,null,NO,null,NO,NO,null,YES,null,The street address of the FEMA region
openfema,data_products,fema_regions,city,3,null,YES,string,STRING,0,0,null,null,null,null,null,null,null,NO,null,null,null,null,null,null,NO,null,NO,NO,null,YES,null,The city where the FEMA region is located
openfema,data_products,fema_regions,state,4,null,YES,string,STRING,0,0,null,null,null,null,null,null,null,NO,null,null,null,null,null,null,NO,null,NO,NO,null,YES,null,The state where the FEMA region is located
openfema,data_products,fema_regions,zipCode,5,null,YES,string,STRING,0,0,null,null,null,null,null,null,null,NO,null,null,null,null,null,null,NO,null,NO,NO,null,YES,null,The ZIP code of the FEMA region
openfema,data_products,fema_regions,states,6,null,YES,string,STRING,0,0,null,null,null,null,null,null,null,NO,null,null,null,null,null,null,NO,null,NO,NO,null,YES,null,The states covered by the FEMA region
openfema,data_products,fema_regions,lastRefresh,7,null,YES,string,STRING,0,0,null,null,null,null,null,null,null,NO,null,null,null,null,null,null,NO,null,NO,NO,null,YES,null,Timestamp of the last data refresh for the FEMA region
openfema,data_products,fema_regions,hash,8,null,YES,string,STRING,0,0,null,null,null,null,null,null,null,NO,null,null,null,null,null,null,NO,null,NO,NO,null,YES,null,Unique hash value for the FEMA region
openfema,data_products,fema_regions,id,9,null,YES,string,STRING,0,0,null,null,null,null,null,null,null,NO,null,null,null,null,null,null,NO,null,NO,NO,null,YES,null,Unique identifier for the FEMA region
openfema,data_products,fema_regions,loc.type,10,null,YES,string,STRING,0,0,null,null,null,null,null,null,null,NO,null,null,null,null,null,null,NO,null,NO,NO,null,YES,null,Type of geographic location data
openfema,data_products,fema_regions,loc.coordinates,11,null,YES,string,STRING,0,0,null,null,null,null,null,null,null,NO,null,null,null,null,null,null,NO,null,NO,NO,null,YES,null,Geographic coordinates of the FEMA region
openfema,data_products,fema_regions,regionGeometry.type,12,null,YES,string,STRING,0,0,null,null,null,null,null,null,null,NO,null,null,null,null,null,null,NO,null,NO,NO,null,YES,null,Type of geometry data for the region
openfema,data_products,fema_regions,regionGeometry.coordinates,13,null,YES,string,STRING,0,0,null,null,null,null,null,null,null,NO,null,null,null,null,null,null,NO,null,NO,NO,null,YES,null,Geographic coordinates defining the region's geometry
openfema,data_products,fema_regions,regionGeometry,14,null,YES,string,STRING,0,0,null,null,null,null,null,null,null,NO,null,null,null,null,null,null,NO,null,NO,NO,null,YES,null,Additional information about the region's geometry
openfema,data_products,fema_regions,femadexLastRefresh,15,null,YES,timestamp,TIMESTAMP,null,null,null,null,null,3,null,null,null,NO,null,null,null,null,null,null,NO,null,NO,NO,null,YES,null,Timestamp of the last data refresh for FEMA index
openfema,data_products,femaweb_declaration_areas,id,0,null,YES,string,STRING,0,0,null,null,null,null,null,null,null,NO,null,null,null,null,null,null,NO,null,NO,NO,null,YES,null,Unique identifier for each record in the table
openfema,data_products,femaweb_declaration_areas,disasterNumber,1,null,YES,bigint,LONG,null,null,null,null,null,null,null,null,null,NO,null,null,null,null,null,null,NO,null,NO,NO,null,YES,null,Identifier for each disaster declaration
openfema,data_products,femaweb_declaration_areas,programTypeCode,2,null,YES,string,STRING,0,0,null,null,null,null,null,null,null,NO,null,null,null,null,null,null,NO,null,NO,NO,null,YES,null,Code representing the type of program related to the disaster
openfema,data_products,femaweb_declaration_areas,programTypeDescription,3,null,YES,string,STRING,0,0,null,null,null,null,null,null,null,NO,null,null,null,null,null,null,NO,null,NO,NO,null,YES,null,Description of the program type related to the disaster
openfema,data_products,femaweb_declaration_areas,stateCode,4,null,YES,string,STRING,0,0,null,null,null,null,null,null,null,NO,null,null,null,null,null,null,NO,null,NO,NO,null,YES,null,Code representing the state affected by the disaster
openfema,data_products,femaweb_declaration_areas,stateName,5,null,YES,string,STRING,0,0,null,null,null,null,null,null,null,NO,null,null,null,null,null,null,NO,null,NO,NO,null,YES,null,Name of the state affected by the disaster
openfema,data_products,femaweb_declaration_areas,placeCode,6,null,YES,string,STRING,0,0,null,null,null,null,null,null,null,NO,null,null,null,null,null,null,NO,null,NO,NO,null,YES,null,Code representing the specific place affected by the disaster
openfema,data_products,femaweb_declaration_areas,placeName,7,null,YES,string,STRING,0,0,null,null,null,null,null,null,null,NO,null,null,null,null,null,null,NO,null,NO,NO,null,YES,null,Name of the specific place affected by the disaster
